Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,HS,AS,HF,AF
2016/17,20/08/16,Barcelona,Betis,6,2,H,12,2,30,6,17,13
2016/17,28/08/16,Ath Bilbao,Barcelona,0,1,A,4,3,9,12,20,13
2016/17,10/09/16,Barcelona,Alaves,1,2,A,2,4,16,5,12,12
2016/17,17/09/16,Leganes,Barcelona,1,5,A,6,7,15,10,28,7
2016/17,21/09/16,Barcelona,Ath Madrid,1,1,D,7,4,19,9,14,17
2016/17,24/09/16,Sp Gijon,Barcelona,0,5,A,3,7,10,13,15,10
2016/17,02/10/16,Celta,Barcelona,4,3,H,9,4,14,13,16,11
2016/17,15/10/16,Barcelona,La Coruna,4,0,H,8,0,25,7,5,15
2016/17,22/10/16,Valencia,Barcelona,2,3,A,4,8,7,15,15,13
2016/17,29/10/16,Barcelona,Granada,1,0,H,5,0,15,1,7,17
2016/17,06/11/16,Sevilla,Barcelona,1,2,A,4,7,15,14,18,12
2016/17,19/11/16,Barcelona,Malaga,0,0,D,8,1,28,4,13,12
2016/17,27/11/16,Sociedad,Barcelona,1,1,D,6,2,17,10,16,11
2016/17,03/12/16,Barcelona,Real Madrid,1,1,D,2,5,11,14,19,16
2016/17,10/12/16,Osasuna,Barcelona,0,3,A,1,6,4,17,18,6
2016/17,18/12/16,Barcelona,Espanol,4,1,H,7,1,14,4,11,16
2016/17,08/01/17,Villarreal,Barcelona,1,1,D,3,7,6,20,16,13
2016/17,14/01/17,Barcelona,Las Palmas,5,0,H,10,1,22,7,15,11
2016/17,22/01/17,Eibar,Barcelona,0,4,A,6,7,14,14,12,4
2016/17,29/01/17,Betis,Barcelona,1,1,D,7,4,17,10,17,12
2016/17,04/02/17,Barcelona,Ath Bilbao,3,0,H,6,5,16,10,11,18
2016/17,11/02/17,Alaves,Barcelona,0,6,A,4,9,9,21,16,9
2016/17,19/02/17,Barcelona,Leganes,2,1,H,6,6,13,11,8,18
2016/17,26/02/17,Ath Madrid,Barcelona,1,2,A,4,6,12,15,28,14
2016/17,01/03/17,Barcelona,Sp Gijon,6,1,H,9,2,25,5,14,12
2016/17,04/03/17,Barcelona,Celta,5,0,H,9,2,19,7,10,16
2016/17,12/03/17,La Coruna,Barcelona,2,1,H,9,5,14,16,7,8
2016/17,19/03/17,Barcelona,Valencia,4,2,H,12,5,28,6,4,12
2016/17,02/04/17,Granada,Barcelona,1,4,A,5,13,7,26,15,10
2016/17,05/04/17,Barcelona,Sevilla,3,0,H,7,3,15,7,16,13
